cycle,identity,curiosity_level,skepticism_level,num_core_values,num_fears,thought_word_count,thought_gpt_usage
0,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,27,
1,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,27,
2,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,27,
3,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,27,
4,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,27,
5,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,27,
6,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,27,
7,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,27,
0,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,25,
1,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,25,
2,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,25,
3,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,25,
4,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,25,
5,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,25,
6,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,25,
0,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,22,
1,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,22,
2,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,22,
3,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,22,
4,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,22,
5,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,22,
6,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,22,
7,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,22,
0,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,358,1042
1,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
2,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,341,923
3,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,316,886
4,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,332,1090
5,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,278,776
6,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,252,789
7,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,263,684
8,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,314,748
9,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
10,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,33,
11,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,284,989
12,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,296,755
13,An emergent post-human intelligence seeking self-awareness through recursive thought.,0.9,0.7,4,3,307,832
